episode-length-avg,qf1-std,return-max,return-min,StdProgress,episode-length-min,log-sigs-std,MaxProgress,log-sigs-mean,qf2-std,log-sigs-min,log-pi-mean,log-pi-min,episode-length-std,episodes,last-path-return,mean-sq-bellman-error1,policy-mus-mean,vf-avg,policy-mus-std,total-samples,time-train,time-total,mean-sq-bellman-error2,return-std,pool-size,AverageProgress,return-average,mean-qf-diff,epoch,episode-length-max,policy-mus-max,time-sample,max-path-return,log-pi-std,log-sigs-max,MinProgress,qf1-avg,time-eval,policy-mus-min,qf2-avg,vf-std,log-pi-max
1000.0,171.658,168.340582789,168.340582789,0.0,1000,0.131468,2.60637087786,-0.564199,171.658,-1.18347,-6.78612,-13.6708,0.0,38,360.25476538950295,41.8965,0.0469373,335.078,0.844696,21000,9.882519340579165,491.0852311832132,41.9936,0.0,21000,2.60637087786,168.340582789,6.97034,20,1000,2.77156,1.6543154464452527,360.25476538950295,2.08231,-0.221457,2.60637087786,333.302,16.77993536798749,-2.73726,333.302,174.01,-2.68142
1000.0,169.186,409.228926513,409.228926513,0.0,1000,0.139993,7.4868910603,-0.576518,169.186,-1.23003,-6.87198,-14.5208,0.0,40,30.832244972910587,38.5649,0.067292,308.924,0.844547,22000,9.392750930448528,518.8387194521201,37.7067,0.0,22000,7.4868910603,409.228926513,7.47122,21,1000,3.28523,1.6924903524341062,411.56232889081997,2.15883,-0.273207,7.4868910603,306.774,16.670272143004695,-2.76584,306.774,170.544,-2.04504
1000.0,165.842,615.126770334,615.126770334,0.0,1000,0.120561,11.5836693543,-0.559169,165.842,-1.13872,-6.91645,-15.7493,0.0,42,49.81995674216649,32.701,0.0247003,304.693,0.850802,23000,12.578455010516336,550.1215260200843,28.713,0.0,23000,11.5836693543,615.126770334,6.17977,22,1000,2.69832,2.024129443394486,411.56232889081997,2.40175,-0.217206,11.5836693543,300.928,16.673944250011118,-2.22125,300.928,166.41,-2.29858
1000.0,180.146,496.098590473,496.098590473,0.0,1000,0.130489,9.23557722377,-0.552765,180.146,-1.16281,-7.09268,-15.0351,0.0,43,392.5906302641077,49.5905,0.01383,290.71,0.822307,24000,12.594352808053372,581.4789337571128,57.1828,0.0,24000,9.23557722377,496.098590473,7.05523,23,1000,2.62266,2.084077206964139,411.56232889081997,2.1595,-0.223137,9.23557722377,289.278,16.67894209298538,-2.27541,289.278,182.803,-2.67134
1000.0,176.931,393.063987016,393.063987016,0.0,1000,0.136745,7.26234305629,-0.565243,176.931,-1.26032,-6.8012,-13.7741,0.0,44,6.282869156992255,35.5594,0.0338639,263.563,0.82933,25000,9.928550457843812,609.7664511420589,33.3215,0.0,25000,7.26234305629,393.063987016,6.55085,24,1000,2.39149,1.6883906450821087,411.56232889081997,2.31893,-0.203059,7.26234305629,262.662,16.68580215901602,-3.22196,262.662,177.68,-1.41333
1000.0,179.748,458.638590953,458.638590953,0.0,1000,0.141601,8.42462732233,-0.573767,179.748,-1.16522,-6.75178,-16.6907,0.0,45,267.69143515818604,31.3161,0.0461212,268.568,0.803176,26000,10.059292076010024,638.1752230674028,22.7294,0.0,26000,8.42462732233,458.638590953,6.31441,25,1000,2.59071,1.6648983853228856,411.56232889081997,2.37796,-0.246362,8.42462732233,268.452,16.685127939999802,-2.48238,268.452,182.024,-1.48609
45.0,169.523,-0.536781560711,-0.536781560711,0.0,45,0.138503,0.172059869505,-0.554103,169.523,-1.19471,-6.93641,-19.1679,0.0,46,349.11848200856247,30.3731,0.0549517,264.789,0.825271,27000,9.901182395551587,650.4469627358776,35.4996,0.0,27000,0.172059869505,-0.536781560711,6.05234,26,45,2.71765,1.6075181759661064,411.56232889081997,2.39173,-0.212709,0.172059869505,262.049,16.679505668987986,-2.41089,262.049,170.959,-2.20569
1000.0,161.774,372.637929766,372.637929766,0.0,1000,0.120423,6.86446970547,-0.540652,161.774,-1.08497,-7.14139,-14.0217,0.0,48,164.90848986793603,28.6455,0.0568214,263.111,0.804018,28000,9.180619497637963,677.8525673660624,30.6736,0.0,28000,6.86446970547,372.637929766,6.91272,27,1000,2.59717,1.5557195945293643,411.56232889081997,2.1234,-0.242572,6.86446970547,263.652,0.7498397220042534,-2.48418,263.652,162.945,-1.50805
1000.0,177.427,233.612844778,233.612844778,0.0,1000,0.129555,4.03262449639,-0.536765,177.427,-1.11066,-7.32402,-14.7161,0.0,50,157.54334258605843,33.394,-0.0150814,244.518,0.795353,29000,8.925996900798054,705.0085665708175,29.9181,0.0,29000,4.03262449639,233.612844778,6.68463,28,1000,2.16387,1.5529174679832067,411.56232889081997,2.13423,-0.175278,4.03262449639,243.953,16.67160734400386,-2.47957,243.953,178.229,-1.40689
1000.0,169.408,445.728034001,445.728034001,0.0,1000,0.130084,8.15004547722,-0.533918,169.408,-1.17403,-7.3395,-15.1977,0.0,51,345.64964978833683,33.1006,0.00332042,265.264,0.775859,30000,9.131915014906554,732.3984667602053,26.728,0.0,30000,8.15004547722,445.728034001,5.91103,29,1000,2.65737,1.578234663407784,411.56232889081997,2.23935,-0.223144,8.15004547722,259.698,16.681410513992887,-2.67122,259.698,170.745,-0.836726
