qf2-std,episodes,AverageForwardProgress,episode-length-avg,mean-sq-bellman-error2,episode-length-max,episode-length-min,return-min,return-average,MaxForwardProgress,qf2-avg,mean-sq-bellman-error1,pool-size,log-pi-max,policy-mus-min,last-path-return,StdForwardProgress,time-train,mean-qf-diff,vf-avg,qf1-std,log-pi-mean,qf1-avg,log-sigs-min,total-samples,policy-mus-mean,return-max,log-sigs-mean,log-sigs-max,log-sigs-std,time-total,time-sample,episode-length-std,log-pi-min,policy-mus-std,time-eval,vf-std,policy-mus-max,max-path-return,epoch,return-std,MinForwardProgress,log-pi-std
656.647,1236,79.4748248923,1000.0,137.635,1000,1000,7778.78326865,7778.78326865,79.4748248923,3447.63,135.943,1000000,-1.43499,-2.89329,7533.21255757,0.0,12.62607003794983,5.37049,3452.87,656.647,-5.71887,3447.63,-1.50927,1236000,-0.215,7778.78326865,-0.493002,-0.0491066,0.168227,35458.39578093843,2.5085808267685934,0.0,-12.3244,1.10013,16.685503208005684,653.801,3.49626,7742.31796324,1235,0.0,79.4748248923,1.92356
678.434,1237,80.7796297184,1000.0,87.399,1000,1000,7901.5926668,7901.5926668,80.7796297184,3433.01,99.601,1000000,-1.65523,-2.62582,7520.00774095,0.0,12.6664101620554,5.11964,3425.92,678.434,-5.36945,3433.01,-1.7302,1237000,-0.125859,7901.5926668,-0.503748,-0.0649658,0.173922,35490.288956283424,2.5416451589480857,0.0,-11.1766,1.14497,16.692543113000283,678.883,2.85028,7742.31796324,1236,0.0,80.7796297184,1.68759
612.495,1238,78.8628137271,1000.0,117.524,1000,1000,7726.25158809,7726.25158809,78.8628137271,3458.82,231.05,1000000,-1.85784,-3.43464,7347.41443745,0.0,11.999139919986192,5.51037,3463.59,612.495,-5.58506,3458.82,-1.5169,1238000,-0.105108,7726.25158809,-0.493349,-0.0738976,0.180745,35520.93469928863,1.973682706215186,0.0,-12.7464,1.12626,16.697047050998663,612.171,2.91538,7742.31796324,1237,0.0,78.8628137271,1.85109
721.641,1239,80.572076584,1000.0,42.4133,1000,1000,7886.90018276,7886.90018276,80.572076584,3399.22,43.1343,1000000,-1.87662,-2.48355,7674.35944744,0.0,12.746670275955694,5.78625,3397.4,721.641,-5.51681,3399.22,-1.35057,1239000,-0.224304,7886.90018276,-0.500161,-0.0700462,0.179911,35552.84062698357,2.487832737977442,0.0,-10.5712,1.12115,16.688852571001917,720.986,2.89194,7742.31796324,1238,0.0,80.572076584,1.60441
669.631,1240,79.7284751335,1000.0,61.6397,1000,1000,7804.55067462,7804.55067462,79.7284751335,3447.75,74.7385,1000000,-1.73408,-2.20697,7190.31828602,0.0,12.862833577921265,5.18735,3445.3,669.631,-5.4861,3447.75,-1.44215,1240000,-0.117532,7804.55067462,-0.505498,-0.0640296,0.175397,35584.93275718247,2.560318744966935,0.0,-15.3461,1.12694,16.690169045999937,668.392,2.81305,7742.31796324,1239,0.0,79.7284751335,1.89951
666.454,1241,80.4711762501,1000.0,40.4865,1000,1000,7877.43778011,7877.43778011,80.4711762501,3426.54,37.8666,1000000,-2.30326,-2.37983,7682.3137864,0.0,11.031375799786474,4.53771,3420.04,666.454,-5.51494,3426.54,-1.26439,1241000,-0.145064,7877.43778011,-0.501891,-0.0611577,0.170415,35614.00446609141,1.3575938811482047,0.0,-15.041,1.12617,16.675997808997636,662.811,3.00516,7742.31796324,1240,0.0,80.4711762501,1.92218
659.251,1242,80.7802305938,1000.0,61.5006,1000,1000,7911.14863808,7911.14863808,80.7802305938,3444.19,86.8866,1000000,-2.10962,-3.59903,7499.28060351,0.0,12.704244457876484,6.10901,3443.35,659.251,-5.46285,3444.19,-1.42062,1242000,-0.135688,7911.14863808,-0.502122,0.222682,0.18356,35645.88489045527,2.4697602839878527,0.0,-13.0303,1.1362,16.702448300995457,658.361,4.97634,7742.31796324,1241,0.0,80.7802305938,1.89641
656.965,1243,79.6751156763,1000.0,63.3194,1000,1000,7807.16142356,7807.16142356,79.6751156763,3429.09,69.0985,1000000,-1.74327,-2.58906,7475.54396242,0.0,12.64518001419492,6.35524,3428.74,656.965,-5.34749,3429.09,-1.41156,1243000,-0.0521485,7807.16142356,-0.501199,0.120509,0.182294,35677.7725414234,2.5592159309308045,0.0,-13.5432,1.15237,16.723753517995647,653.299,3.16946,7742.31796324,1242,0.0,79.6751156763,1.80753
646.258,1244,81.9117760047,1000.0,41.9545,1000,1000,8021.85882327,8021.85882327,81.9117760047,3443.81,63.3048,1000000,-2.10842,-3.36334,7692.69953784,0.0,11.051750332961092,4.9681,3442.38,646.258,-5.48204,3443.81,-1.7258,1244000,-0.106296,8021.85882327,-0.516841,-0.0724836,0.198891,35706.87434512521,1.3799448258505436,0.0,-12.1187,1.15735,16.68266158500046,645.771,2.92918,7742.31796324,1243,0.0,81.9117760047,1.83
658.074,1245,81.2844028041,1000.0,27.9015,1000,1000,7949.57435829,7949.57435829,81.2844028041,3461.25,38.2188,1000000,-1.99859,-2.47411,7465.43418498,0.0,12.724943221866852,4.79185,3460.75,658.074,-5.75164,3461.25,-1.28485,1245000,-0.140055,7949.57435829,-0.493697,-0.0967961,0.175643,35738.84866777796,2.5657646168911015,0.0,-12.1674,1.1474,16.68350067600113,659.417,2.80963,7742.31796324,1244,0.0,81.2844028041,1.89809
