pool-size,total-samples,return-average,AverageForwardProgress,MeanDistfromGoal,episode-length-min,epoch,qf1-std,mean-sq-bellman-error2,mean-qf-diff,qf1-avg,time-train,return-std,episodes,vf-std,last-path-return,MaxForwardProgress,qf2-std,time-eval,vf-avg,StdForwardProgress,episode-length-std,mean-sq-bellman-error1,qf2-avg,MinForwardProgress,time-sample,max-path-return,episode-length-avg,return-min,episode-length-max,time-total,return-max
34000,34000,-4444.36342794,-0.137988140227,8.47672249303,1000,33,213.261,42.4711,3.51615,-2005.97,27.310533090028912,0.0,34,213.578,-4419.66755143,-0.137988140227,213.261,16.670874618925154,-2008.69,0.0,0.0,43.4541,-2005.97,-0.137988140227,6.964164004661143,-4419.66755143,1000.0,-4444.36342794,1000,1699.6959229588974,-4444.36342794
35000,35000,-4422.49725767,-0.166943403817,8.54922030934,1000,34,203.141,46.8959,3.2387,-2017.12,27.550812584580854,0.0,35,203.804,-4820.12949066,-0.166943403817,203.141,16.72405484202318,-2013.89,0.0,0.0,44.1202,-2017.12,-0.166943403817,7.550026761600748,-4419.66755143,1000.0,-4422.49725767,1000,1751.4860077623744,-4422.49725767
36000,36000,-4937.02200988,-0.238743591601,9.64560128964,1000,35,211.95,76.8143,3.8153,-2020.54,26.756226635770872,0.0,36,211.856,-4900.44728438,-0.238743591601,211.95,16.68815403105691,-2021.4,0.0,0.0,60.7584,-2020.54,-0.238743591601,6.448408920550719,-4419.66755143,1000.0,-4937.02200988,1000,1801.4043884426355,-4937.02200988
37000,37000,-5075.74357383,0.0435498595662,9.73413563709,1000,36,207.45,32.0711,3.49219,-2054.39,27.443074356764555,0.0,37,207.191,-4567.19230876,0.0435498595662,207.45,16.720888501033187,-2051.51,0.0,0.0,33.6198,-2054.39,0.0435498595662,7.732501480495557,-4419.66755143,1000.0,-5075.74357383,1000,1853.2807881676126,-5075.74357383
38000,38000,-4766.62240706,-0.00252709392917,9.23050670389,1000,37,206.777,52.2971,3.48268,-2067.91,25.70890562608838,0.0,38,207.069,-4893.17250525,-0.00252709392917,206.777,16.703510759864002,-2064.77,0.0,0.0,50.2437,-2067.91,-0.00252709392917,6.740254677832127,-4419.66755143,1000.0,-4766.62240706,1000,1902.4266308997758,-4766.62240706
39000,39000,-4527.2149011,-0.168792040772,8.53759853919,1000,38,225.566,36.9636,3.78461,-2085.59,27.967572059249505,0.0,39,225.181,-4632.62274231,-0.168792040772,225.566,16.70268045901321,-2079.5,0.0,0.0,37.1877,-2085.59,-0.168792040772,7.765004912391305,-4419.66755143,1000.0,-4527.2149011,1000,1954.8677726946771,-4527.2149011
40000,40000,-4531.10056257,-0.202964166575,8.69958266717,1000,39,215.682,41.0567,3.74057,-2091.31,25.71022206125781,0.0,40,215.764,-4828.81339469,-0.202964166575,215.682,16.704978611087427,-2087.65,0.0,0.0,40.4001,-2091.31,-0.202964166575,5.942338286433369,-4419.66755143,1000.0,-4531.10056257,1000,2003.2009144462645,-4531.10056257
41000,41000,-4672.03433797,-0.104006852228,8.79338682552,1000,40,217.77,48.3581,3.48096,-2110.0,28.019653260242194,0.0,41,217.384,-4557.4497076,-0.104006852228,217.77,16.68934758892283,-2109.33,0.0,0.0,44.6778,-2110.0,-0.104006852228,7.468417457304895,-4419.66755143,1000.0,-4672.03433797,1000,2055.416563502513,-4672.03433797
42000,42000,-4983.85636756,-0.0223291958722,9.63882256599,1000,41,215.103,36.0505,3.1704,-2124.98,25.248345436528325,0.0,42,215.03,-4451.0603374,-0.0223291958722,215.103,16.720292743993923,-2123.69,0.0,0.0,32.9546,-2124.98,-0.0223291958722,6.2559197740629315,-4419.66755143,1000.0,-4983.85636756,1000,2103.6214354443364,-4983.85636756
43000,43000,-4536.89082723,-0.131838009494,8.75018552369,1000,42,240.119,38.4853,3.28374,-2166.94,27.767695361282676,0.0,43,240.796,-4494.48891697,-0.131838009494,240.119,16.70480529591441,-2162.02,0.0,0.0,36.0347,-2166.94,-0.131838009494,7.6819931792560965,-4419.66755143,1000.0,-4536.89082723,1000,2155.8096460346133,-4536.89082723
44000,44000,-4754.94415736,0.0254875980352,9.57664538918,1000,43,234.914,30.2522,3.49358,-2155.69,25.24878067523241,0.0,44,235.475,-4975.2760891,0.0254875980352,234.914,16.751026259036735,-2149.07,0.0,0.0,33.2117,-2155.69,0.0254875980352,6.18398633855395,-4419.66755143,1000.0,-4754.94415736,1000,2203.982225523796,-4754.94415736
45000,45000,-4844.72860666,0.0289520209209,9.6813447913,1000,44,235.833,53.1444,3.62305,-2168.07,27.68795328726992,0.0,45,235.882,-4496.30324623,0.0289520209209,235.833,16.724220867967233,-2165.09,0.0,0.0,57.3367,-2168.07,0.0289520209209,7.739544022129849,-4419.66755143,1000.0,-4844.72860666,1000,2256.2155382568017,-4844.72860666
46000,46000,-4797.17901695,-0.325730192046,9.77313492686,1000,45,244.679,27.8344,3.49257,-2172.11,25.388930174754933,0.0,46,245.143,-4933.87087733,-0.325730192046,244.679,16.8097778391093,-2166.28,0.0,0.0,25.7299,-2172.11,-0.325730192046,6.073923578951508,-4419.66755143,1000.0,-4797.17901695,1000,2304.361450415803,-4797.17901695
47000,47000,-4739.80763871,0.0668327533728,9.74102571325,1000,46,234.453,40.4048,3.41796,-2177.85,27.505098070017993,0.0,47,234.906,-4965.5749004,0.0668327533728,234.453,16.688377565005794,-2175.42,0.0,0.0,35.5568,-2177.85,0.0668327533728,7.656790189677849,-4419.66755143,1000.0,-4739.80763871,1000,2356.278712469386,-4739.80763871
48000,48000,-4755.15289452,-0.156025206116,8.5957096528,1000,47,228.128,31.654,3.15695,-2196.17,26.148982245940715,0.0,48,228.016,-4838.19260024,-0.156025206116,228.128,16.75481005688198,-2193.41,0.0,0.0,31.5181,-2196.17,-0.156025206116,6.379854835337028,-4419.66755143,1000.0,-4755.15289452,1000,2405.4864805794787,-4755.15289452
49000,49000,-5042.53107389,-0.209010396705,9.71190346679,1000,48,232.411,38.5558,3.3857,-2205.11,28.149223855230957,0.0,49,232.302,-4613.62084092,-0.209010396705,232.411,16.69607437821105,-2203.05,0.0,0.0,33.886,-2205.11,-0.209010396705,7.526381764328107,-4419.66755143,1000.0,-5042.53107389,1000,2457.8986909538507,-5042.53107389
50000,50000,-4690.41233146,-0.200635412878,8.8162641128,1000,49,221.541,33.1842,3.36199,-2209.05,26.542101584840566,0.0,50,221.817,-4977.15559824,-0.200635412878,221.541,16.725692014908418,-2208.66,0.0,0.0,32.2803,-2209.05,-0.200635412878,6.681267183274031,-4419.66755143,1000.0,-4690.41233146,1000,2507.861791761592,-4690.41233146
51000,51000,-4848.56281772,-0.305253175051,9.63656608845,1000,50,221.005,43.3802,3.32831,-2217.17,27.431736015947536,0.0,51,220.681,-4637.63360933,-0.305253175051,221.005,16.75226927897893,-2216.1,0.0,0.0,40.8609,-2217.17,-0.305253175051,7.705885899718851,-4419.66755143,1000.0,-4848.56281772,1000,2559.774210922187,-4848.56281772
52000,52000,-4819.73089261,-0.0186675262764,9.54467607715,1000,51,235.274,33.1666,3.19411,-2216.51,27.092836891999468,0.0,52,236.051,-4638.10311488,-0.0186675262764,235.274,16.760866910917684,-2210.21,0.0,0.0,33.6551,-2216.51,-0.0186675262764,7.279033026890829,-4419.66755143,1000.0,-4819.73089261,1000,2610.8254483910277,-4819.73089261
53000,53000,-4683.51516599,-0.198853872987,8.58972065938,1000,52,237.632,40.0091,3.72212,-2199.18,27.69461426907219,0.0,53,237.581,-5037.90718617,-0.198853872987,237.632,16.689488760195673,-2197.43,0.0,0.0,32.067,-2199.18,-0.198853872987,7.539479078259319,-4419.66755143,1000.0,-4683.51516599,1000,2662.789501584135,-4683.51516599
54000,54000,-4474.00892786,-0.150926031017,8.58279509705,1000,53,230.34,39.6112,3.36288,-2207.87,27.61487097502686,0.0,54,230.994,-4854.3978783,-0.150926031017,230.34,16.71985342609696,-2203.68,0.0,0.0,39.5968,-2207.87,-0.150926031017,7.570483745075762,-4419.66755143,1000.0,-4474.00892786,1000,2714.660941001959,-4474.00892786
55000,55000,-4708.34131455,-0.259702899201,8.63524706266,1000,54,228.66,38.6837,3.43254,-2226.67,27.718569053104147,0.0,55,228.51,-4990.93204595,-0.259702899201,228.66,16.695977959083393,-2226.21,0.0,0.0,38.8168,-2226.67,-0.259702899201,7.668268070556223,-4419.66755143,1000.0,-4708.34131455,1000,2766.806012958288,-4708.34131455
56000,56000,-3633.79905614,-0.172345924874,4.59838403298,1000,55,223.913,46.4942,3.31157,-2238.35,28.11567368428223,0.0,56,224.407,-4816.88935225,-0.172345924874,223.913,16.75102112814784,-2238.84,0.0,0.0,41.8896,-2238.35,-0.172345924874,7.4433890408836305,-4419.66755143,1000.0,-3633.79905614,1000,2819.064506602939,-3633.79905614
57000,57000,-4483.16263918,-0.156600038826,8.6222746192,1000,56,246.413,28.8984,3.52966,-2217.54,27.370848461287096,0.0,57,244.951,-4583.96834099,-0.156600038826,246.413,16.704868976958096,-2215.44,0.0,0.0,31.631,-2217.54,-0.156600038826,7.407839867519215,-4419.66755143,1000.0,-4483.16263918,1000,2870.54185651266,-4483.16263918
58000,58000,-4443.12246467,-0.145744668422,8.36534144775,1000,57,242.379,37.2686,3.30567,-2226.23,27.51064505847171,0.0,58,242.607,-4620.35297619,-0.145744668422,242.379,16.7225524331443,-2220.44,0.0,0.0,33.7738,-2226.23,-0.145744668422,7.517626417335123,-4419.66755143,1000.0,-4443.12246467,1000,2922.307766043581,-4443.12246467
59000,59000,-4416.75736588,-0.153220328956,8.4702173236,1000,58,240.754,34.849,3.53445,-2234.41,26.63610205356963,0.0,59,240.065,-4562.75649276,-0.153220328956,240.754,16.71860287198797,-2231.52,0.0,0.0,33.5533,-2234.41,-0.153220328956,6.8644507001154125,-4419.66755143,1000.0,-4416.75736588,1000,2972.5071499641053,-4416.75736588
60000,60000,-4523.43435281,-0.161957850199,8.45759840685,1000,59,227.45,27.6657,3.64518,-2254.15,27.253872110508382,0.0,60,227.902,-4447.7273772,-0.161957850199,227.45,16.7095308189746,-2253.87,0.0,0.0,25.152,-2254.15,-0.161957850199,7.739889247808605,-4419.66755143,1000.0,-4523.43435281,1000,3024.2053319534753,-4523.43435281
61000,61000,-4689.3949715,0.0951632859125,8.81103995968,1000,60,230.328,29.7606,3.58998,-2238.02,25.859749387716874,0.0,61,229.551,-4482.79410456,0.0951632859125,230.328,16.69402652187273,-2234.48,0.0,0.0,29.3546,-2238.02,0.0951632859125,6.556779355509207,-4419.66755143,1000.0,-4689.3949715,1000,3073.3964975103736,-4689.3949715
62000,62000,-4502.36963838,-0.0711498959616,8.66412028914,1000,61,234.901,34.706,3.64701,-2241.66,27.752715186448768,0.0,62,234.395,-4635.47869239,-0.0711498959616,234.901,16.79114287113771,-2240.89,0.0,0.0,36.0835,-2241.66,-0.0711498959616,7.479343311395496,-4419.66755143,1000.0,-4502.36963838,1000,3125.332384337671,-4502.36963838
63000,63000,-4465.53071052,-0.206504230257,8.60435188438,1000,62,284.005,29.5725,3.24434,-2256.16,25.45792135084048,0.0,63,282.486,-3701.28328687,-0.206504230257,284.005,16.687980774091557,-2253.66,0.0,0.0,31.3943,-2256.16,-0.206504230257,6.101875446038321,-3701.28328687,1000.0,-4465.53071052,1000,3173.5894216753077,-4465.53071052
64000,64000,-3489.76185508,-0.0809632305298,5.67009987005,1000,63,256.497,34.2177,3.68905,-2222.81,27.227884395048022,0.0,64,257.487,-4377.22736489,-0.0809632305298,256.497,16.702362101059407,-2220.37,0.0,0.0,34.1838,-2222.81,-0.0809632305298,7.848575968295336,-3701.28328687,1000.0,-3489.76185508,1000,3225.4195248847827,-3489.76185508
65000,65000,-4289.21738129,-0.211417069058,8.42946666577,1000,64,313.078,26.8896,3.91014,-2259.53,25.28048824844882,0.0,65,314.732,-4324.91087357,-0.211417069058,313.078,16.76823412394151,-2258.69,0.0,0.0,24.7899,-2259.53,-0.211417069058,6.060047781327739,-3701.28328687,1000.0,-4289.21738129,1000,3273.4591733457055,-4289.21738129
66000,66000,-3933.49322256,0.0878903883577,5.63860526929,1000,65,280.103,18.413,3.26599,-2243.28,27.673057577805594,0.0,66,280.328,-4011.96718445,0.0878903883577,280.103,16.70035178004764,-2237.37,0.0,0.0,17.4783,-2243.28,0.0878903883577,7.806884752120823,-3701.28328687,1000.0,-3933.49322256,1000,3325.6737390537746,-3933.49322256
67000,67000,-4417.58340746,-0.181667356799,8.53473446964,1000,66,268.956,25.0331,3.52872,-2259.86,25.217650022357702,0.0,67,270.254,-4424.44158225,-0.181667356799,268.956,16.729297807905823,-2258.68,0.0,0.0,23.8755,-2259.86,-0.181667356799,6.340961164562032,-3701.28328687,1000.0,-4417.58340746,1000,3373.9738914964255,-4417.58340746
68000,68000,-4504.50378766,0.0370299873709,8.67617462878,1000,67,389.914,30.7358,3.70733,-2277.86,27.730870587285608,0.0,68,392.376,-4476.24908727,0.0370299873709,389.914,16.74948233203031,-2276.2,0.0,0.0,27.6859,-2277.86,0.0370299873709,7.698547143023461,-3701.28328687,1000.0,-4504.50378766,1000,3426.1301648430526,-4504.50378766
69000,69000,-4447.7377232,-0.0927774503231,8.66029565462,1000,68,310.186,19.5142,3.38838,-2297.85,25.322426174534485,0.0,69,311.753,-4410.94502341,-0.0927774503231,310.186,16.73118234006688,-2296.45,0.0,0.0,21.4358,-2297.85,-0.0927774503231,6.056306526064873,-3701.28328687,1000.0,-4447.7377232,1000,3474.2475627404638,-4447.7377232
70000,70000,-4458.71305454,-0.215297457029,8.42541289836,1000,69,356.458,54.6556,3.80556,-2269.54,27.71653790702112,0.0,70,358.025,-4379.38807795,-0.215297457029,356.458,16.729532264871523,-2265.44,0.0,0.0,56.7843,-2269.54,-0.215297457029,7.6399318147450686,-3701.28328687,1000.0,-4458.71305454,1000,3526.384953566361,-4458.71305454
71000,71000,-4494.04631524,-0.125706541414,8.48573025726,1000,70,318.117,32.1382,4.10486,-2277.84,26.079656266374514,0.0,71,319.301,-4335.28955213,-0.125706541414,318.117,16.785492134047672,-2276.58,0.0,0.0,31.8278,-2277.84,-0.125706541414,6.427948129363358,-3701.28328687,1000.0,-4494.04631524,1000,3575.5822995866183,-4494.04631524
72000,72000,-4377.95358121,0.237584638552,8.57695355803,1000,71,287.27,39.479,4.63816,-2266.7,27.69848884572275,0.0,72,287.193,-4401.4206185,0.237584638552,287.27,16.692281887866557,-2260.16,0.0,0.0,36.8462,-2266.7,0.237584638552,7.7765337156597525,-3701.28328687,1000.0,-4377.95358121,1000,3627.8195485821925,-4377.95358121
73000,73000,-4319.8675571,-0.213248393824,8.46138515093,1000,72,293.564,36.7829,4.07844,-2254.59,26.3864550688304,0.0,73,295.548,-4523.00363798,-0.213248393824,293.564,16.75824606604874,-2251.19,0.0,0.0,35.0906,-2254.59,-0.213248393824,6.893281617900357,-3701.28328687,1000.0,-4319.8675571,1000,3677.78791199415,-4319.8675571
