episode-length-min,time-sample,log-sigs-max,MaxForwardProgress,time-eval,StdForwardProgress,total-samples,time-train,log-sigs-min,log-sigs-std,mean-qf-diff,log-pi-std,return-std,policy-mus-min,MinForwardProgress,AverageForwardProgress,episode-length-avg,vf-avg,epoch,max-path-return,last-path-return,log-pi-min,log-sigs-mean,episodes,qf1-std,episode-length-max,mean-sq-bellman-error2,mean-sq-bellman-error1,policy-mus-max,return-average,log-pi-max,qf1-avg,policy-mus-std,time-total,qf2-std,policy-mus-mean,log-pi-mean,episode-length-std,vf-std,pool-size,return-max,qf2-avg,return-min
1000,2.320141371077625,0.0146075,0.644175609447,16.676027228008024,0.0,29000,11.657210900157224,-0.540384,0.0662213,2.04856,1.86436,0.0,-2.16024,0.644175609447,0.644175609447,1000.0,829.275,28,419.475376572,331.862824482,-15.1245,-0.219969,29,27.9928,1000,5.47762,3.94199,1.90666,486.71127063,-4.37023,826.035,0.486811,863.3091418135882,27.9928,-0.103688,-7.08413,0.0,28.6609,29000,486.71127063,826.035,486.71127063
1000,1.3198151821561623,-0.00538827,1.24722303871,16.674705795012414,0.0,30000,9.788881637796294,-0.629066,0.0638251,1.98217,1.91852,0.0,-2.10299,1.24722303871,1.24722303871,1000.0,808.533,29,419.475376572,343.494372606,-15.6801,-0.219478,30,26.3821,1000,3.87596,3.93298,2.12351,723.368788748,-4.51617,804.712,0.475579,891.0897932685621,26.3821,-0.127806,-7.34421,0.0,27.3984,30000,723.368788748,804.712,723.368788748
1000,2.5098712112085195,-0.0295857,1.28201942282,16.671041548004723,0.0,31000,11.918917089831666,-0.508896,0.059103,2.05364,1.91174,0.0,-2.02462,1.28201942282,1.28201942282,1000.0,787.704,30,419.475376572,403.686812743,-17.8036,-0.219568,31,18.179,1000,3.80106,4.34077,1.6596,492.263098415,-4.20749,783.795,0.474262,922.200292425594,18.179,-0.124288,-7.25847,0.0,18.684,31000,492.263098415,783.795,492.263098415
1000,2.4924979371280642,-0.00294614,4.07798965801,16.684381001992733,0.0,32000,11.91929126312607,-0.578407,0.0593825,1.71127,1.70142,0.0,-1.7489,4.07798965801,4.07798965801,1000.0,767.712,31,419.475376572,359.429990812,-13.8457,-0.225021,32,20.2276,1000,4.0446,3.77709,2.17379,704.067107975,-4.33184,765.185,0.470849,953.2842926118465,20.2276,-0.0678018,-7.12524,0.0,19.8885,32000,704.067107975,765.185,704.067107975
1000,1.69019509392092,0.0271159,4.48390291832,16.67057449600543,0.0,33000,11.145896744113998,-0.531214,0.0600331,1.73338,1.63934,0.0,-1.82946,4.48390291832,4.48390291832,1000.0,749.383,32,494.336154309,494.336154309,-12.469,-0.221843,33,28.5732,1000,3.85961,3.52311,1.75785,655.184986744,-4.45536,747.783,0.471096,982.7888171018712,28.5732,-0.0505693,-7.07576,0.0,29.1957,33000,655.184986744,747.783,655.184986744
1000,2.4885471340676304,-0.0579924,5.48542516177,16.670230024988996,0.0,34000,12.3373947879154,-0.513818,0.0602575,1.81182,1.81783,0.0,-1.75733,5.48542516177,5.48542516177,1000.0,733.986,33,494.336154309,481.061460386,-16.1725,-0.223809,34,23.8698,1000,3.91522,3.44329,1.59456,506.559097981,-4.44317,728.958,0.456407,1014.2955426728731,23.8698,-0.0899235,-7.2923,0.0,23.9486,34000,506.559097981,728.958,506.559097981
1000,2.5730026138335234,-0.0401289,6.71732454487,16.68150278700341,0.0,35000,12.316612341266591,-0.529657,0.0636786,1.8484,1.88414,0.0,-1.99318,6.71732454487,6.71732454487,1000.0,714.922,34,494.336154309,490.682606466,-17.8647,-0.225434,35,27.7803,1000,3.60296,4.24887,2.52627,500.99975238,-3.76916,713.339,0.494799,1045.8568452299514,27.7803,-0.108292,-7.13821,0.0,28.8145,35000,500.99975238,713.339,500.99975238
1000,2.5000424750032835,-0.0201835,5.7236939952,16.67319292901084,0.0,36000,12.191111780179199,-0.539936,0.0580951,1.74231,1.84299,0.0,-1.71092,5.7236939952,5.7236939952,1000.0,704.947,35,494.336154309,449.735591773,-15.2487,-0.219546,36,23.3089,1000,2.91695,2.69766,2.55755,456.69398547,-4.45633,702.778,0.475586,1077.2346536741534,23.3089,-0.0658091,-7.22521,0.0,23.7382,36000,456.69398547,702.778,456.69398547
1000,2.109973057056777,-0.039547,6.26780896495,16.68550051699276,0.0,37000,11.546610474091722,-0.513333,0.0626995,1.69327,1.70161,0.0,-1.82576,6.26780896495,6.26780896495,1000.0,688.626,36,494.336154309,473.547601393,-12.6246,-0.226354,37,26.8743,1000,3.69497,3.14505,2.22289,546.403875682,-4.3249,686.324,0.479496,1107.576392234303,26.8743,-0.101509,-7.17049,0.0,27.024,37000,546.403875682,686.324,546.403875682
1000,2.492867737310007,-0.0613778,7.19324155716,16.68668085799436,0.0,38000,12.067679845320527,-0.759871,0.0595899,1.52921,1.71909,0.0,-1.8401,7.19324155716,7.19324155716,1000.0,679.212,37,521.730074845,521.730074845,-13.5369,-0.219942,38,23.4629,1000,3.73793,3.11243,2.20705,545.6778734,-4.41147,675.57,0.455007,1138.811988406931,23.4629,-0.110925,-7.24729,0.0,23.24,38000,545.6778734,675.57,545.6778734
1000,2.5321106999908807,-0.0600609,7.84885693563,16.67966246799915,0.0,39000,12.00702545598324,-0.512871,0.060842,1.70011,1.84142,0.0,-1.73264,7.84885693563,7.84885693563,1000.0,666.874,38,523.551262355,523.551262355,-13.922,-0.219191,39,21.5821,1000,3.1316,3.14319,1.58877,601.787430988,-4.47922,663.055,0.448831,1170.0390886289097,21.5821,-0.0748748,-7.32214,0.0,21.861,39000,601.787430988,663.055,601.787430988
1000,1.3936839774250984,0.0654372,7.11414926831,16.68328385001223,0.0,40000,10.085212358724675,-0.545658,0.0635754,1.64613,1.84764,0.0,-1.88478,7.11414926831,7.11414926831,1000.0,656.987,39,523.551262355,466.791334365,-17.8372,-0.226561,40,25.6528,1000,2.69405,2.81631,1.9844,655.57603329,-4.33638,652.563,0.484233,1198.1855557620584,25.6528,-0.11717,-7.22094,0.0,26.2478,40000,655.57603329,652.563,655.57603329
1000,2.3843922581145307,0.149706,7.09486769849,16.67557453000336,0.0,41000,11.791649759921711,-0.655005,0.0649679,1.58527,1.75597,0.0,-1.77768,7.09486769849,7.09486769849,1000.0,648.443,40,621.634840154,621.634840154,-14.3423,-0.224258,41,22.3341,1000,4.18463,3.59048,1.62558,648.482904347,-3.7868,645.716,0.466626,1229.0350624871207,22.3341,-0.0966223,-7.16025,0.0,22.9809,41000,648.482904347,645.716,648.482904347
1000,2.4705596990825143,0.0110051,6.21713160867,16.665620359999593,0.0,42000,11.730239932105178,-0.552157,0.066105,1.482,1.69659,0.0,-1.54603,6.21713160867,6.21713160867,1000.0,636.613,41,621.634840154,529.467238863,-13.9612,-0.241302,42,26.9246,1000,4.23701,4.23546,1.4946,616.111684035,-4.02736,632.556,0.494123,1259.9134299732978,26.9246,-0.109093,-7.09185,0.0,28.0492,42000,616.111684035,632.556,616.111684035
1000,1.3487927299720468,-0.0303129,4.74859664703,16.68142544600414,0.0,43000,9.6119289817143,-0.514488,0.064193,1.51378,1.6725,0.0,-1.67249,4.74859664703,4.74859664703,1000.0,631.467,42,621.634840154,597.347795431,-13.6755,-0.230464,43,25.8859,1000,3.70584,3.15479,1.72262,452.553745523,-4.24748,627.135,0.482064,1287.5453276799817,25.8859,-0.109503,-6.94703,0.0,25.3798,43000,452.553745523,627.135,452.553745523
1000,2.3159806337353075,-0.000679016,6.51543876455,16.673618557004374,0.0,44000,11.184797200199682,-0.546566,0.0709923,1.73322,1.71398,0.0,-1.59904,6.51543876455,6.51543876455,1000.0,622.825,43,633.121631594,633.121631594,-12.5778,-0.237922,44,29.1725,1000,3.68645,3.19739,1.49738,623.304850387,-4.05371,619.414,0.520574,1317.7398720739147,29.1725,-0.114689,-6.95425,0.0,29.658,44000,623.304850387,619.414,623.304850387
1000,2.2529157187382225,-0.0309293,6.3758977278,16.696667726995656,0.0,45000,10.926157085996238,-0.577396,0.0720776,1.52592,1.66165,0.0,-1.9704,6.3758977278,6.3758977278,1000.0,612.571,44,633.121631594,583.386792065,-13.6478,-0.231756,45,27.8142,1000,3.74817,3.9486,1.96834,631.687917028,-4.46198,609.567,0.506081,1347.5900793506735,27.8142,-0.0736692,-6.95294,0.0,28.0085,45000,631.687917028,609.567,631.687917028
1000,2.1123631648661103,-0.0599251,6.56541313267,16.667746844992507,0.0,46000,10.508722197992029,-0.586093,0.0735067,1.7524,1.85374,0.0,-1.5906,6.56541313267,6.56541313267,1000.0,606.13,45,633.121631594,569.753053767,-14.6297,-0.254785,46,30.6517,1000,6.82066,7.09368,1.48646,693.754323684,-4.48495,602.32,0.517492,1376.8899942805147,30.6517,-0.115529,-7.1802,0.0,31.5667,46000,693.754323684,602.32,693.754323684
1000,2.0641855590074556,-0.0128124,5.38157165792,16.688427722008782,0.0,47000,10.627797289256705,-0.551458,0.0708424,1.63932,1.82348,0.0,-1.56512,5.38157165792,5.38157165792,1000.0,604.952,46,715.504120772,715.504120772,-14.287,-0.249859,47,27.4101,1000,3.31472,3.43232,1.72151,576.317123959,-3.91186,600.271,0.528867,1406.2639141687832,27.4101,-0.0795408,-7.06053,0.0,27.7178,47000,576.317123959,600.271,576.317123959
