qf1-avg,vf-avg,qf1-std,time-total,StdProgress,qf2-avg,log-pi-std,episode-length-min,episode-length-avg,episode-length-max,time-eval,log-sigs-std,log-pi-mean,total-samples,return-std,mean-sq-bellman-error1,policy-mus-min,max-path-return,log-sigs-max,episodes,mean-qf-diff,time-train,last-path-return,log-sigs-min,epoch,log-sigs-mean,return-average,MinProgress,pool-size,policy-mus-mean,time-sample,log-pi-max,policy-mus-std,log-pi-min,AverageProgress,MaxProgress,mean-sq-bellman-error2,policy-mus-max,return-max,episode-length-std,return-min,vf-std,qf2-std
338.761,338.038,222.689,585.6033646411379,0.0,338.761,2.27931,325,325.0,325,16.689166802971158,0.123975,-6.84389,25000,0.0,42.4357,-2.81959,512.9048564910621,-0.268609,40,6.755,11.655027337721549,200.46258399981988,-1.03776,24,-0.559907,114.480346383,2.72164936511,25000,-0.00198283,2.2374371284386143,-1.76347,0.816558,-14.4357,2.72164936511,2.72164936511,43.2872,3.3233,114.480346383,0.0,114.480346383,220.65,222.689
339.146,335.496,212.141,612.4097882704227,0.0,339.146,2.31219,1000,1000.0,1000,5.444414224009961,0.114079,-6.95549,26000,0.0,50.3682,-2.90445,512.9048564910621,-0.222267,41,7.24228,8.555837979482021,76.3520891833065,-1.02521,25,-0.548302,305.242328339,8.45022945519,26000,0.0345104,1.5658570026862435,-2.73918,0.881269,-15.9106,8.45022945519,8.45022945519,44.457,2.3825,305.242328339,0.0,305.242328339,212.675,212.141
349.85,352.751,201.079,644.4223712126259,0.0,349.85,2.26288,1000,1000.0,1000,16.688482792989817,0.122076,-6.8786,27000,0.0,37.7398,-2.77744,512.9048564910621,-0.166192,42,6.5853,12.738969194993842,387.8111647858597,-1.02194,26,-0.56133,286.979383567,5.46364565005,27000,-0.0591746,2.5942035673069768,-2.84004,0.823902,-19.2457,5.46364565005,5.46364565005,37.8094,2.62785,286.979383567,0.0,286.979383567,202.128,201.079
334.669,337.447,201.545,673.327792752767,0.0,334.669,2.11138,1000,1000.0,1000,16.669397704012226,0.116046,-7.15119,28000,0.0,46.2945,-2.67307,512.9048564910621,-0.174176,43,7.24091,10.360836437612306,349.1655264581637,-0.994798,27,-0.539427,219.245616099,4.95388983662,28000,0.0490257,1.873755153559614,-2.30718,0.836108,-15.3584,4.95388983662,4.95388983662,45.6006,2.66918,219.245616099,0.0,219.245616099,200.294,201.545
323.332,325.934,194.411,699.3313510474982,0.0,323.332,2.04823,1000,1000.0,1000,16.672032245027367,0.118027,-7.41393,29000,0.0,34.415,-2.53121,586.5955534831302,-0.206479,44,6.52327,7.790397027099971,586.5955534831302,-0.972866,28,-0.525527,279.636554521,5.21271861865,29000,-0.0299412,1.5460014116251841,-1.89601,0.806978,-14.8757,5.21271861865,5.21271861865,37.2958,3.32292,279.636554521,0.0,279.636554521,193.301,194.411
309.602,308.342,192.883,726.6528617172735,0.0,309.602,2.14006,1000,1000.0,1000,16.67845180799486,0.110256,-7.40761,30000,0.0,38.8555,-2.7244,586.5955534831302,-0.181961,45,6.87246,8.873203530267347,510.1189367901124,-1.02945,29,-0.525404,349.383818606,6.37168813152,30000,-0.063934,1.7599614454084076,-2.83616,0.803756,-14.8915,6.37168813152,6.37168813152,34.3363,2.2644,349.383818606,0.0,349.383818606,194.892,192.883
295.646,299.745,190.047,741.9194076393615,0.0,295.646,2.1918,80,80.0,80,16.68017599103041,0.112919,-7.27827,31000,0.0,42.7218,-2.85274,586.5955534831302,-0.149995,47,7.00589,11.628770049661398,377.4887690539803,-0.966662,30,-0.518958,55.4382835687,1.10208270148,31000,0.004042,2.2994739644927904,-2.09139,0.809429,-18.1675,1.10208270148,1.10208270148,37.7241,2.96313,55.4382835687,0.0,55.4382835687,191.462,190.047
299.143,307.483,183.734,771.5345002593822,0.0,299.143,2.06865,1000,1000.0,1000,1.3385938439751044,0.112302,-7.12133,32000,0.0,38.9133,-2.65119,586.5955534831302,-0.183216,48,6.99341,11.126888509257697,107.6661796758199,-1.0221,31,-0.525353,368.93241335,7.00960795652,32000,-0.0341649,1.819251648732461,-2.82152,0.809081,-14.2457,7.00960795652,7.00960795652,38.7836,2.32919,368.93241335,0.0,368.93241335,184.502,183.734
295.224,298.83,183.334,806.5074474874418,0.0,295.224,1.93829,1000,1000.0,1000,16.67009838897502,0.102791,-7.20646,33000,0.0,49.7138,-3.33132,586.5955534831302,-0.203091,49,6.32592,15.131850855075754,325.4866242871878,-1.01108,32,-0.505369,500.518058495,9.24773606438,33000,-0.00569187,3.167686889937613,-3.41456,0.820704,-12.943,9.24773606438,9.24773606438,59.876,2.84995,500.518058495,0.0,500.518058495,183.774,183.334
281.484,284.842,187.731,839.2295676951762,0.0,281.484,1.90883,1000,1000.0,1000,16.671765741019044,0.103603,-7.25864,34000,0.0,36.6742,-2.58934,586.5955534831302,-0.115852,50,6.3657,13.508393196389079,262.3760898434175,-0.902104,33,-0.505543,246.538943913,5.91099956159,34000,-0.0949176,2.513991098385304,-3.28284,0.791795,-14.3682,5.91099956159,5.91099956159,35.9193,2.72056,246.538943913,0.0,246.538943913,187.406,187.731
279.901,285.842,177.819,868.1341265629744,0.0,279.901,2.1304,1000,1000.0,1000,16.70400662702741,0.111625,-7.59666,35000,0.0,33.4952,-2.49577,586.5955534831302,-0.152369,51,6.33128,10.497946930874605,147.05917412806954,-0.911317,34,-0.485039,239.937989562,4.36141116637,35000,0.0154912,1.7092224509106018,-2.60472,0.78325,-15.0945,4.36141116637,4.36141116637,38.2459,2.60111,239.937989562,0.0,239.937989562,176.976,177.819
290.145,285.551,170.593,893.874624440854,0.0,290.145,2.22188,1000,1000.0,1000,16.696696764964145,0.115002,-7.40446,36000,0.0,42.1643,-2.25621,586.5955534831302,-0.190006,52,6.18826,7.570122747041751,292.33751494917016,-0.94421,35,-0.500664,322.128547231,6.01980581354,36000,0.0305714,1.4910899248206988,-3.03062,0.781257,-15.3697,6.01980581354,6.01980581354,41.3243,2.90537,322.128547231,0.0,322.128547231,172.592,170.593
266.336,271.494,173.331,927.5138275327045,0.0,266.336,1.95151,1000,1000.0,1000,16.68303750397172,0.102277,-7.54813,37000,0.0,35.7503,-2.56821,586.5955534831302,-0.197198,53,5.62439,14.087058851553593,538.7224277877838,-0.959357,36,-0.491657,303.224423786,5.3056045445,37000,0.0706158,2.8736186662572436,-3.24055,0.805965,-13.4095,5.3056045445,5.3056045445,29.1979,2.56356,303.224423786,0.0,303.224423786,172.505,173.331
246.942,250.941,180.568,956.9375597074395,0.0,246.942,2.23829,1000,1000.0,1000,16.674897450953722,0.107948,-7.2962,38000,0.0,39.3952,-2.47261,586.5955534831302,-0.185084,55,6.20479,10.66993406257825,141.96133114320315,-0.924784,37,-0.491314,407.814446526,7.46665752784,38000,0.0464621,2.0712740441667847,-3.72092,0.803113,-20.0924,7.46665752784,7.46665752784,35.34,2.89148,407.814446526,0.0,407.814446526,184.165,180.568
261.028,259.898,169.649,982.5933468982112,0.0,261.028,2.24156,1000,1000.0,1000,16.684122834005393,0.105942,-7.53903,39000,0.0,33.9966,-2.65285,586.5955534831302,-0.222662,57,6.15221,7.513094865018502,488.7257402534245,-0.869253,38,-0.480836,393.399535248,7.16209574072,39000,-0.000969252,1.4763978059054352,-2.58569,0.79904,-16.7394,7.16209574072,7.16209574072,36.6659,2.61348,393.399535248,0.0,393.399535248,169.845,169.649
276.132,275.272,168.585,1008.8628221503459,0.0,276.132,2.09378,817,817.0,817,16.674683076969814,0.0979288,-7.51359,40000,0.0,30.5178,-2.42236,586.5955534831302,-0.23447,59,6.331,10.719081674411427,349.9221820509257,-0.87335,39,-0.478208,462.678829638,8.75933486426,40000,0.0355932,1.9232262017321773,-2.89513,0.76674,-15.8949,8.75933486426,8.75933486426,31.5806,2.48145,462.678829638,0.0,462.678829638,168.287,168.585
259.72,261.192,169.489,1037.1493569914019,0.0,259.72,2.09869,1000,1000.0,1000,13.632194822013844,0.101606,-7.88857,41000,0.0,37.7265,-2.45211,586.5955534831302,-0.175155,60,6.17286,9.706029100110754,420.2918002509704,-0.836083,40,-0.457058,176.119412569,2.84726629083,41000,0.0701463,1.8838252700516023,-3.82659,0.778729,-17.0061,2.84726629083,2.84726629083,34.552,2.51992,176.119412569,0.0,176.119412569,170.515,169.489
