log-sigs-min,epoch,MinProgress,mean-sq-bellman-error1,time-total,return-average,qf1-std,episode-length-std,policy-mus-min,policy-mus-std,vf-std,log-pi-max,StdProgress,vf-avg,mean-sq-bellman-error2,episode-length-max,return-max,MaxProgress,total-samples,log-pi-mean,qf1-avg,time-eval,mean-qf-diff,max-path-return,policy-mus-max,pool-size,log-sigs-max,time-train,episodes,return-min,last-path-return,log-sigs-mean,return-std,log-pi-std,AverageProgress,qf2-avg,episode-length-min,time-sample,qf2-std,log-sigs-std,policy-mus-mean,episode-length-avg,log-pi-min
-0.995222,20,1.93146354267,59.245,531.2364458462689,124.107059763,131.644,0.0,-3.63729,1.00049,131.852,-2.84896,0.0,361.679,67.5842,1000,124.107059763,1.93146354267,21000,-6.72349,355.743,16.691077447962016,8.63417,560.7697165210122,2.84516,21000,-0.235305,7.4799466684344225,38,124.107059763,491.1202076349756,-0.572028,0.0,2.0072,1.93146354267,355.743,1000,1.4863765781046823,131.644,0.106561,-0.0157517,1000.0,-14.6233
-1.04646,21,0.451916994334,57.2504,560.6897136922344,35.9280428406,160.072,0.0,-3.04757,0.945681,160.838,-2.40825,0.0,342.119,59.1259,1000,35.9280428406,0.451916994334,22000,-6.99426,334.507,16.706562538980506,8.84478,560.7697165210122,2.47801,22000,-0.25333,10.97920680308016,39,35.9280428406,129.42786949362113,-0.561233,0.0,2.22447,0.451916994334,334.507,1000,1.8038463569246233,160.072,0.0993841,-0.100295,1000.0,-16.2293
-0.874799,22,3.08722975227,51.2427,595.5172002734616,151.247575632,178.73,0.0,-2.89181,0.95116,180.937,-2.81599,0.0,317.062,44.6791,1000,151.247575632,3.08722975227,23000,-6.85022,313.855,16.670811838004738,7.56155,560.7697165210122,2.86319,23000,-0.144574,14.893024739285465,41,151.247575632,60.01270340992787,-0.567447,0.0,2.28337,3.08722975227,313.855,1000,3.259327348903753,178.73,0.0929043,0.148091,1000.0,-15.0166
-0.897552,23,0.462434180378,56.5646,613.3746406559949,-17.7193645267,168.18,0.0,-2.99385,0.93279,170.055,-3.30329,0.0,314.461,72.0773,87,-17.7193645267,0.462434180378,24000,-7.25569,313.937,16.680500809045043,8.73145,560.7697165210122,2.78289,24000,-0.219314,13.747463913750835,42,-17.7193645267,254.78352007079155,-0.532388,0.0,2.04119,0.462434180378,313.937,87,2.6384904427686706,168.18,0.0912753,0.0645389,87.0,-13.9791
-0.948382,24,0.269485719517,49.1442,624.5122552206158,15.1687721312,164.67,0.0,-2.76379,0.922071,165.774,-2.72176,0.0,318.664,46.6663,30,15.1687721312,0.269485719517,25000,-6.89527,316.442,1.469543661980424,8.99767,560.7697165210122,3.95089,25000,-0.283999,8.871257464110386,43,15.1687721312,510.9400689774077,-0.553484,0.0,2.24603,0.269485719517,316.442,30,1.7592996754683554,164.67,0.0893795,0.0751891,30.0,-14.564
-0.97953,25,1.32210486882,56.1785,636.5316170331789,66.0602540659,178.101,0.0,-2.91125,0.920707,179.973,-2.69562,0.0,294.246,58.2406,65,66.0602540659,1.32210486882,26000,-6.95383,296.112,0.49838491796981543,8.16282,560.7697165210122,3.16221,26000,-0.234684,9.339271672302857,44,66.0602540659,373.6077715723308,-0.548511,0.0,2.19628,1.32210486882,296.112,65,1.587123968231026,178.101,0.100348,0.00996247,65.0,-16.0373
-0.864842,26,4.65246050061,48.5046,665.8746261570486,261.984080628,145.381,0.0,-2.99454,0.893274,147.029,-3.32104,0.0,298.862,51.295,1000,261.984080628,4.65246050061,27000,-7.18542,298.09,1.0959797449759208,8.00264,560.7697165210122,2.641,27000,-0.222593,10.572077866469044,45,261.984080628,68.90146859011078,-0.522977,0.0,2.16995,4.65246050061,298.09,1000,2.10404960939195,145.381,0.0943431,0.0238714,1000.0,-20.0038
-1.00022,27,1.68934684603,61.1301,691.573611602711,72.0773177682,157.737,0.0,-2.8574,0.844401,159.01,-2.1711,0.0,300.439,55.5817,1000,72.0773177682,1.68934684603,28000,-7.14599,302.09,16.672301387996413,7.9606,560.7697165210122,2.38898,28000,-0.113607,7.504416008130647,47,72.0773177682,-25.451892775399276,-0.540078,0.0,2.11898,1.68934684603,302.09,1000,1.5086103655048646,157.737,0.0976424,-0.0792369,1000.0,-14.9147
-0.913617,28,5.08607611408,45.2671,721.1914622274926,272.63975395,168.407,0.0,-2.5555,0.860767,168.956,-3.0209,0.0,278.998,38.6339,1000,272.63975395,5.08607611408,29000,-7.15431,275.99,16.705649358977098,7.54503,560.7697165210122,2.91993,29000,-0.261222,10.590264616592322,49,272.63975395,59.827872357411756,-0.557979,0.0,2.14426,5.08607611408,275.99,1000,2.341670410183724,168.407,0.101954,-0.0474211,1000.0,-14.0859
-0.894955,29,6.11662911281,63.2533,754.4897121910471,342.224394709,164.796,0.0,-3.58228,0.852052,166.549,-3.07062,0.0,278.4,45.1241,1000,342.224394709,6.11662911281,30000,-7.32238,272.684,16.66291995102074,7.2875,560.7697165210122,2.84935,30000,-0.173218,13.910823647514917,50,342.224394709,104.72157351993309,-0.536058,0.0,2.10339,6.11662911281,272.684,1000,2.7123151830746792,164.796,0.0941925,-0.0408139,1000.0,-16.0059
